Run_name	WM_retained	CSF_retained
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-043/func/sub-043_task-regularity_run-4_desc-confounds_timeseries.json	14	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-044/func/sub-044_task-localizer_desc-confounds_timeseries.json	1	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-044/func/sub-044_task-regularity_run-1_desc-confounds_timeseries.json	1	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-044/func/sub-044_task-regularity_run-2_desc-confounds_timeseries.json	0	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-044/func/sub-044_task-regularity_run-3_desc-confounds_timeseries.json	0	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-044/func/sub-044_task-regularity_run-4_desc-confounds_timeseries.json	1	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-045/func/sub-045_task-localizer_desc-confounds_timeseries.json	2	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-045/func/sub-045_task-regularity_run-1_desc-confounds_timeseries.json	3	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-045/func/sub-045_task-regularity_run-2_desc-confounds_timeseries.json	4	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-045/func/sub-045_task-regularity_run-3_desc-confounds_timeseries.json	2	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-045/func/sub-045_task-regularity_run-4_desc-confounds_timeseries.json	3	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-046/func/sub-046_task-localizer_desc-confounds_timeseries.json	3	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-046/func/sub-046_task-regularity_run-1_desc-confounds_timeseries.json	10	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-046/func/sub-046_task-regularity_run-2_desc-confounds_timeseries.json	12	28
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-046/func/sub-046_task-regularity_run-3_desc-confounds_timeseries.json	13	27
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-046/func/sub-046_task-regularity_run-4_desc-confounds_timeseries.json	15	31
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-047/func/sub-047_task-localizer_desc-confounds_timeseries.json	11	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-047/func/sub-047_task-regularity_run-1_desc-confounds_timeseries.json	13	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-047/func/sub-047_task-regularity_run-2_desc-confounds_timeseries.json	14	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-047/func/sub-047_task-regularity_run-3_desc-confounds_timeseries.json	5	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-048/func/sub-048_task-localizer_desc-confounds_timeseries.json	3	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-048/func/sub-048_task-regularity_run-1_desc-confounds_timeseries.json	8	20
